n,R,algorithm,cover_size,time_ms,ratio
100,0.15,degree,72,3.271857999607164,1.6363636363636365
100,0.15,edge,72,8.32519499999762,1.6363636363636365
100,0.15,matching,88,0.2549760001784307,2.0
200,0.15,degree,166,12.204071000269323,1.7659574468085106
200,0.15,edge,166,67.12853999943036,1.7659574468085106
200,0.15,matching,188,0.578686999688216,2.0
300,0.15,degree,269,27.928100999815797,1.8680555555555556
300,0.15,edge,269,253.30301299982239,1.8680555555555556
300,0.15,matching,288,1.5909089997876436,2.0
400,0.15,degree,370,53.00504699971498,1.907216494845361
400,0.15,edge,370,835.9070440001233,1.907216494845361
400,0.15,matching,388,3.8817699996798183,2.0
500,0.15,degree,466,146.77784399918892,1.8866396761133604
500,0.15,edge,466,2131.833151000137,1.8866396761133604
500,0.15,matching,494,3.8060419992689276,2.0
100,0.2,degree,83,3.7879670007896493,1.7659574468085106
100,0.2,edge,83,23.667300999477447,1.7659574468085106
100,0.2,matching,94,0.5379139993237914,2.0
200,0.2,degree,179,15.556078000372509,1.8645833333333333
200,0.2,edge,179,112.88722500012227,1.8645833333333333
200,0.2,matching,192,0.9012130003611674,2.0
300,0.2,degree,282,36.55308399993373,1.9183673469387754
300,0.2,edge,282,409.99062700029754,1.9183673469387754
300,0.2,matching,294,2.308963000359654,2.0
400,0.2,degree,379,67.14782899962302,1.933673469387755
400,0.2,edge,379,1092.4198189995877,1.933673469387755
400,0.2,matching,392,4.360874999292719,2.0
500,0.2,degree,480,100.62746600033279,1.9591836734693877
500,0.2,edge,480,2321.168643999954,1.9591836734693877
500,0.2,matching,490,7.65525000042544,2.0
100,0.25,degree,86,4.834348000258615,1.7916666666666667
100,0.25,edge,86,22.342044000652095,1.7916666666666667
100,0.25,matching,96,0.6823469993832987,2.0
200,0.25,degree,186,23.00020799975755,1.9175257731958764
200,0.25,edge,186,160.63551699971867,1.9175257731958764
200,0.25,matching,194,1.6996149997794419,2.0
300,0.25,degree,285,39.83012000026065,1.9387755102040816
300,0.25,edge,285,657.2799089999535,1.9387755102040816
300,0.25,matching,294,3.4384220007268596,2.0
400,0.25,degree,387,75.29277100002219,1.9644670050761421
400,0.25,edge,387,2304.9082030001955,1.9644670050761421
400,0.25,matching,394,14.537426999595482,2.0
500,0.25,degree,486,302.51439199946617,1.9676113360323886
500,0.25,edge,486,6022.912194000128,1.9676113360323886
500,0.25,matching,494,11.832211000182724,2.0
